Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Region,City,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit
ORD-10216,21/01/2024,28/01/2024,Second Class,IMRAN KHAN,Home Office,East,Sialkot,Technology,Machines,Label Maker,3,641.93,0,1925.79,-246.6
ORD-11062,30/07/2023,02/08/2023,Second Class,Fatima Raza,Corporate,South,Hyderabad,Furniture,Furnishings,Desk Lamp,6,367.57,0,2205.42,457.55
ORD-11190,07/02/2024,13/02/2024,Second Class,Zara Iqbal,Consumer,East,Gujranwala,Technology,Copiers,Desktop Copier,10,139.55,0,1395.5,155.48
ORD-10669,04/03/2024,06/03/2024,Second Class,Hina Sheikh,Corporate,East,Sialkot,Furniture,Chairs,Executive Leather Chair,5,427.49,0.15,2137.45,-212.93
ORD-10840,17/09/2023,22/09/2023,Standard Class,,Home Office,Nort,Islamabad,Furniture,Bookcases,Corner Bookcase,1,896.19,0.2,896.19,-21.04
ORD-11011,20/03/2024,26/03/2024,Standard Class,Omar Raza,Home Office,east,Sialkot,Office Supplies,Labels,Address Labels,10,682.06,0,6820.6,1989.09
ORD-10492,06/11/2023,11/11/2023,Standard Class,Zara Qureshi,Home Office,east,Gujranwala,Furniture,Furnishings,Wall Clock,9,410.64,0.3,3695.76,457.47
ORD-10172,15/12/2023,20/12/2023,Same Day,Imran Sheikh,Consumer,Centeral,Faisalabad,Furniture,Bookcases,Wall-Mount Bookcase,6,499.97,0.1,2999.82,197.76
ORD-10063,10/05/2024,13/05/2024,First Class,Usman Qureshi,Home Office,EAST,Gujranwala,Office Supplies,Storage,Storage Box,7,214.04,0.3,1498.28,82.99
ORD-10681,17/02/2024,18/02/2024,Standard Class,Nida Khan,Consumer,central,Multan,Technology,Phones,Office Desk Phone,2,744.77,0.3,1489.54,395.11
ORD-10051,02/09/2024,09/09/2024,Standard Class,Mahnoor Iqbal,Consumer,central,Faisalabad,Office Supplies,Art,Pen Set,5,513.92,0,2569.6,397.81
ORD-10650,15/07/2024,19/07/2024,Second Class,Zara Butt,Corporate,NORTH,Rawalpindi,Furniture,Bookcases,Wall-Mount Bookcase,4,249.91,0,999.64,38.56
ORD-11127,27/04/2024,04/05/2024,Standard Class,Ahmed Malik,Consumer,SOUTH,Hyderabad,Furniture,Furnishings,Floor Mat,2,510.82,0,1021.64,-35.09
ORD-10677,27/03/2023,02/04/2023,First Class,Hina Khan,Consumer,CENTRAL,Multan,Office Supplies,Labels,Shipping Labels,11,735.25,0.3,8087.75,224.37
ORD-10170,17/02/2023,18/02/2023,Standard Class,Fatima Qureshi,Corporate,EAST,Sialkot,Furniture,Bookcases,5-Shelf Bookcase,3,678.27,0.2,2034.81,529.97
ORD-10374,31/01/2023,07/02/2023,First Class,Zara Butt,Home Office,east,Gujranwala,Office Supplies,Art,Highlighter Pack,4,100.56,0,402.24,-55.07
ORD-10395,21/06/2024,24/06/2024,First Class,Sana Ansari,Corporate,South,Hyderabad,Furniture,Tables,Round Conference Table,1,720.13,0.15,720.13,-52.54
